date_id,date,day,month,year,quarter,weekday
160,2014-03-16,20140316,201403,2014,2014Q1,Sunday
161,2014-03-17,20140317,201403,2014,2014Q1,Monday
162,2014-03-18,20140318,201403,2014,2014Q1,Tuesday
163,2014-03-19,20140319,201403,2014,2014Q1,Wednesday
164,2014-03-20,20140320,201403,2014,2014Q1,Thursday
165,2014-03-21,20140321,201403,2014,2014Q1,Friday
166,2014-03-22,20140322,201403,2014,2014Q1,Saturday
167,2014-03-23,20140323,201403,2014,2014Q1,Sunday
168,2014-03-24,20140324,201403,2014,2014Q1,Monday
169,2014-03-25,20140325,201403,2014,2014Q1,Tuesday
170,2014-03-26,20140326,201403,2014,2014Q1,Wednesday
171,2014-03-27,20140327,201403,2014,2014Q1,Thursday
172,2014-03-28,20140328,201403,2014,2014Q1,Friday
173,2014-03-29,20140329,201403,2014,2014Q1,Saturday
174,2014-03-30,20140330,201403,2014,2014Q1,Sunday
175,2014-03-31,20140331,201403,2014,2014Q1,Monday
176,2014-04-01,20140401,201404,2014,2014Q2,Tuesday
177,2014-04-02,20140402,201404,2014,2014Q2,Wednesday
178,2014-04-03,20140403,201404,2014,2014Q2,Thursday
179,2014-04-04,20140404,201404,2014,2014Q2,Friday
180,2014-04-05,20140405,201404,2014,2014Q2,Saturday
181,2014-04-06,20140406,201404,2014,2014Q2,Sunday
182,2014-04-07,20140407,201404,2014,2014Q2,Monday
183,2014-04-08,20140408,201404,2014,2014Q2,Tuesday
184,2014-04-09,20140409,201404,2014,2014Q2,Wednesday
185,2014-04-10,20140410,201404,2014,2014Q2,Thursday
186,2014-04-11,20140411,201404,2014,2014Q2,Friday
187,2014-04-12,20140412,201404,2014,2014Q2,Saturday
188,2014-04-13,20140413,201404,2014,2014Q2,Sunday
189,2014-04-14,20140414,201404,2014,2014Q2,Monday
190,2014-04-15,20140415,201404,2014,2014Q2,Tuesday
191,2014-04-16,20140416,201404,2014,2014Q2,Wednesday
192,2014-04-17,20140417,201404,2014,2014Q2,Thursday
193,2014-04-18,20140418,201404,2014,2014Q2,Friday
194,2014-04-19,20140419,201404,2014,2014Q2,Saturday
195,2014-04-20,20140420,201404,2014,2014Q2,Sunday
196,2014-04-21,20140421,201404,2014,2014Q2,Monday
197,2014-04-22,20140422,201404,2014,2014Q2,Tuesday
198,2014-04-23,20140423,201404,2014,2014Q2,Wednesday
199,2014-04-24,20140424,201404,2014,2014Q2,Thursday
200,2014-04-25,20140425,201404,2014,2014Q2,Friday
201,2014-04-26,20140426,201404,2014,2014Q2,Saturday
202,2014-04-27,20140427,201404,2014,2014Q2,Sunday
203,2014-04-28,20140428,201404,2014,2014Q2,Monday
204,2014-04-29,20140429,201404,2014,2014Q2,Tuesday
205,2014-04-30,20140430,201404,2014,2014Q2,Wednesday
206,2014-05-01,20140501,201405,2014,2014Q2,Thursday
207,2014-05-02,20140502,201405,2014,2014Q2,Friday
208,2014-05-03,20140503,201405,2014,2014Q2,Saturday
209,2014-05-04,20140504,201405,2014,2014Q2,Sunday
210,2014-05-05,20140505,201405,2014,2014Q2,Monday
211,2014-05-06,20140506,201405,2014,2014Q2,Tuesday
212,2014-05-07,20140507,201405,2014,2014Q2,Wednesday
213,2014-05-08,20140508,201405,2014,2014Q2,Thursday
214,2014-05-09,20140509,201405,2014,2014Q2,Friday
215,2014-05-10,20140510,201405,2014,2014Q2,Saturday
216,2014-05-11,20140511,201405,2014,2014Q2,Sunday
217,2014-05-12,20140512,201405,2014,2014Q2,Monday
218,2014-05-13,20140513,201405,2014,2014Q2,Tuesday
219,2014-05-14,20140514,201405,2014,2014Q2,Wednesday
220,2014-05-15,20140515,201405,2014,2014Q2,Thursday
221,2014-05-16,20140516,201405,2014,2014Q2,Friday
222,2014-05-17,20140517,201405,2014,2014Q2,Saturday
223,2014-05-18,20140518,201405,2014,2014Q2,Sunday
224,2014-05-19,20140519,201405,2014,2014Q2,Monday
225,2014-05-20,20140520,201405,2014,2014Q2,Tuesday
226,2014-05-21,20140521,201405,2014,2014Q2,Wednesday
227,2014-05-22,20140522,201405,2014,2014Q2,Thursday
228,2014-05-23,20140523,201405,2014,2014Q2,Friday
229,2014-05-24,20140524,201405,2014,2014Q2,Saturday
230,2014-05-25,20140525,201405,2014,2014Q2,Sunday
231,2014-05-26,20140526,201405,2014,2014Q2,Monday
232,2014-05-27,20140527,201405,2014,2014Q2,Tuesday
233,2014-05-28,20140528,201405,2014,2014Q2,Wednesday
234,2014-05-29,20140529,201405,2014,2014Q2,Thursday
235,2014-05-30,20140530,201405,2014,2014Q2,Friday
236,2014-05-31,20140531,201405,2014,2014Q2,Saturday
