latitude,longitude,geo_id
35.7345,-81.3445,429
45.5729,-122.653,430
42.4371,-82.986,431
42.0274,-77.6564,432
32.2582,-90.2135,433
28.1336,-82.7784,434
26.3605,-80.1746,435
34.9952,-78.9099,436
44.1752,-84.6702,437
41.5027,-87.2593,438
35.0937,-106.502,439
40.1164,-88.2434,440
40.6339,-80.0506,441
40.6819,-73.9272,442
42.9711,-77.8558,443
42.9432,-72.2812,444
34.1485,-119.181,445
42.2561,-71.773,446
34.9861,-81.9423,447
45.5041,-122.531,448
40.9045,-74.1457,449
47.3809,-122.235,450
41.7764,-72.6765,451
41.2998,-96.0814,452
29.4251,-98.4611,453
37.0844,-84.0261,454
39.9394,-91.4053,455
37.8362,-87.59,456
42.919,-78.8002,457
32.8467,-104.414,458
38.9596,-92.3421,459
40.6936,-89.589,460
61.6533,-149.9,461
30.474,-91.0826,462
39.762,-86.1056,463
42.3249,-71.0787,464
47.6062,-122.332,465
30.4472,-86.629,466
42.9992,-87.9189,467
38.1304,-122.252,468
33.7625,-79.1403,469
37.9716,-87.5711,470
45.5223,-122.496,471
41.6584,-70.1286,472
41.7997,-87.6437,473
35.0602,-89.6801,474
42.9936,-71.4505,475
43.4185,-83.9241,476
30.4799,-95.7551,477
40.6698,-73.9583,478
41.8354,-87.8293,479
38.4526,-91.0167,480
30.9038,-84.5755,481
34.9401,-83.7428,482
29.6111,-89.8685,483
41.8772,-71.3543,484
41.4535,-81.5329,485
30.2202,-97.7499,486
39.7589,-84.1916,487
42.8938,-78.8271,488
45.9536,-122.599,489
39.9445,-83.0572,490
35.1565,-81.2812,491
48.2131,-101.283,492
44.3976,-122.741,493
39.8334,-86.0102,494
30.3139,-81.6956,495
38.3228,-91.2465,496
42.6452,-84.5236,497
40.6613,-111.844,498
41.7014,-73.9207,499
40.8559,-73.9289,500
28.0419,-81.9172,501
45.4328,-122.859,502
32.5939,-83.6552,503
27.7227,-97.3792,504
28.0124,-80.6494,505
37.7053,-122.159,506
41.6038,-93.6317,507
37.2917,-120.474,508
45.5826,-122.353,509
43.05,-87.9452,510
33.5741,-86.7817,511
28.5149,-81.3098,512
39.6843,-75.5484,513
34.0624,-117.748,514
40.192,-85.3749,515
38.3637,-81.6509,516
44.3969,-122.447,517
31.8031,-106.289,518
41.8115,-111.559,519
41.6791,-86.2536,520
41.3718,-82.1073,521
40.1896,-85.2955,522
42.6041,-82.88,523
39.7852,-89.6248,524
42.7677,-77.452,525
37.0982,-84.5971,526
30.9014,-84.2057,527
47.6795,-117.425,528
36.1511,-95.9945,529
42.91,-78.8203,530
41.5402,-87.3427,531
36.218,-119.352,532
30.4612,-88.1237,533
43.0023,-83.6441,534
40.2242,-74.7451,535
42.257,-71.7958,536
39.3242,-76.4335,537
39.1784,-75.527,538
40.6415,-73.9594,539
43.0527,-83.6544,540
41.0955,-81.5438,541
34.056,-81.1741,542
39.43,-76.3023,543
30.4502,-87.2588,544
37.4893,-77.4842,545
40.6966,-111.987,546
41.098,-80.6474,547
39.9413,-83.8218,548
42.945,-72.276,549
36.8014,-76.348,550
41.2739,-75.891,551
37.6544,-113.086,552
42.965,-78.7403,553
42.2636,-71.8112,554
33.815,-84.4465,555
40.7076,-112.106,556
33.8602,-89.3113,557
40.2506,-76.8535,558
41.9556,-87.7154,559
39.3914,-87.6936,560
40.2734,-76.7337,561
38.8897,-76.9319,562
41.7598,-87.6336,563
43.1402,-77.6359,564
40.0365,-76.5051,565
43.9786,-71.1226,566
41.4628,-74.4149,567
41.8228,-71.3413,568
41.7976,-87.7674,569
42.3782,-122.919,570
42.2445,-71.7949,571
29.4654,-95.0384,572
43.0249,-89.2801,573
33.6801,-116.16,574
40.7809,-87.7361,575
36.6551,-121.658,576
39.6255,-86.1226,577
30.9179,-90.1592,578
43.1718,-76.0945,579
41.5322,-90.5844,580
39.458,-77.9719,581
33.9773,-83.3641,582
41.9733,-87.6578,583
26.0032,-80.1429,584
42.242,-83.5853,585
45.5521,-122.671,586
33.9611,-83.3753,587
42.9164,-78.8017,588
46.7879,-92.097,589
45.5191,-122.562,590
41.524,-72.0834,591
40.6904,-74.1774,592
33.7155,-78.9787,593
43.0932,-78.9722,594
38.687,-90.1539,595
39.0533,-95.6717,596
33.6564,-84.0037,597
40.4669,-80.025,598
33.0365,-85.0242,599
34.622,-83.2573,600
40.7207,-74.0867,601
43.4458,-83.9079,602
42.3336,-122.882,603
42.4539,-73.2905,604
33.9493,-83.4064,605
42.3121,-122.855,606
42.2036,-122.725,607
29.3747,-98.4216,608
39.3421,-76.6652,609
35.998,-84.2582,610
36.4207,-100.16,611
43.0404,-76.1638,612
40.7783,-82.5041,613
42.2105,-72.6138,614
32.4125,-86.9905,615
48.0631,-122.154,616
41.7872,-87.7234,617
38.8535,-104.72,618
46.8413,-92.2206,619
42.9078,-78.8881,620
30.1976,-95.7046,621
41.5486,-90.5719,622
34.7962,-96.6457,623
41.2282,-95.8514,624
33.6982,-84.3935,625
42.0876,-72.5612,626
40.6915,-111.847,627
33.725,-84.3881,628
40.9047,-74.169,629
40.6118,-75.4763,630
41.1949,-73.1989,631
45.523,-122.674,632
41.4998,-81.6904,633
47.6015,-117.675,634
29.2021,-81.0362,635
41.2248,-75.8948,636
40.4018,-86.8691,637
40.9075,-72.4084,638
42.9742,-85.6446,639
42.113,-72.6114,640
37.7807,-122.417,641
30.3133,-81.6923,642
30.326,-81.4815,643
37.2155,-93.2952,644
38.8019,-104.761,645
33.5987,-112.257,646
37.7524,-122.163,647
